Cost per person,Currency,Price rating,Country Code,Cost_USD
75,AED,3,214,20.25
250,AED,4,214,67.5
75,AED,3,214,20.25
142.5,AED,3,214,38.475
135,AED,3,214,36.45
85,AED,3,214,22.95
125,AED,3,214,33.75
65,AED,3,214,17.55
42.5,AED,3,214,11.475
35,AED,3,214,9.45
60,AED,4,214,16.2
32.5,AED,3,214,8.775
55,AED,4,214,14.85
20,AED,2,214,5.4
50,AED,4,214,13.5
40,AED,3,214,10.8
45,AED,3,214,12.15
40,AED,3,214,10.8
25,AED,2,214,6.75
30,AED,3,214,8.1
80,AED,4,214,21.6
65,AED,4,214,17.55
125,AED,4,214,33.75
30,AED,3,214,8.1
125,AED,4,214,33.75
75,AED,4,214,20.25
25,AED,2,214,6.75
55,AED,4,214,14.85
425,INR,3,1,5.6902175
350,INR,2,1,4.6860614
250,INR,2,1,3.3471868
200,INR,2,1,2.6777494
500,INR,3,1,6.6943736
1000,INR,4,1,13.388747
1250,INR,4,1,16.735933
1250,INR,4,1,16.735933
400,INR,3,1,5.355499
1800,INR,4,1,24.099745
0,INR,1,1,0.0
275,INR,2,1,3.6819055
550,INR,3,1,7.363811
0,INR,1,1,0.0
750,INR,4,1,10.04156
0,INR,1,1,0.0
450,INR,3,1,6.024936
350,INR,2,1,4.6860614
500,INR,3,1,6.6943736
350,INR,2,1,4.6860614
450,INR,3,1,6.024936
900,INR,4,1,12.049872
150,INR,1,1,2.008312
400,INR,3,1,5.355499
450,INR,3,1,6.024936
250,INR,2,1,3.3471868
500,INR,3,1,6.6943736
500,INR,3,1,6.6943736
700,INR,3,1,9.372123
175,INR,2,1,2.3430307
225,INR,2,1,3.012468
450,INR,3,1,6.024936
300,INR,2,1,4.016624
350,INR,2,1,4.6860614
350,INR,2,1,4.6860614
300,INR,2,1,4.016624
475,INR,3,1,6.359655
600,INR,3,1,8.033248
600,INR,3,1,8.033248
275,INR,2,1,3.6819055
600,INR,3,1,8.033248
250,INR,3,1,3.3471868
175,INR,2,1,2.3430307
250,INR,3,1,3.3471868
300,INR,3,1,4.016624
300,INR,3,1,4.016624
300,INR,3,1,4.016624
250,INR,3,1,3.3471868
200,INR,2,1,2.6777494
400,INR,3,1,5.355499
350,INR,3,1,4.6860614
200,INR,2,1,2.6777494
250,INR,3,1,3.3471868
0,INR,1,1,0.0
250,INR,3,1,3.3471868
500,INR,4,1,6.6943736
100,INR,1,1,1.3388747
250,INR,3,1,3.3471868
250,INR,3,1,3.3471868
200,INR,2,1,2.6777494
400,INR,3,1,5.355499
350,INR,2,1,4.6860614
150,INR,1,1,2.008312
50,INR,1,1,0.66943735
400,INR,3,1,5.355499
75,INR,1,1,1.004156
150,INR,1,1,2.008312
250,INR,2,1,3.3471868
600,INR,3,1,8.033248
200,INR,2,1,2.6777494
350,INR,2,1,4.6860614
100,INR,1,1,1.3388747
300,INR,2,1,4.016624
250,INR,2,1,3.3471868
250,INR,2,1,3.3471868
250,INR,2,1,3.3471868
200,INR,2,1,2.6777494
50,INR,1,1,0.66943735
250,INR,2,1,3.3471868
250,INR,2,1,3.3471868
500,INR,3,1,6.6943736
75,INR,1,1,1.004156
400,INR,3,1,5.355499
425,INR,3,1,5.6902175
300,INR,2,1,4.016624
350,INR,2,1,4.6860614
175,INR,2,1,2.3430307
225,INR,2,1,3.012468
900,INR,4,1,12.049872
250,INR,2,1,3.3471868
250,INR,2,1,3.3471868
500,INR,3,1,6.6943736
150,INR,1,1,2.008312
200,INR,2,1,2.6777494
350,INR,2,1,4.6860614
225,INR,2,1,3.012468
225,INR,2,1,3.012468
200,INR,2,1,2.6777494
325,INR,2,1,4.3513427
300,INR,2,1,4.016624
225,INR,2,1,3.012468
250,INR,2,1,3.3471868
650,INR,3,1,8.702685
1200,INR,4,1,16.066496
1000,INR,4,1,13.388747
650,INR,3,1,8.702685
750,INR,3,1,10.04156
400,INR,2,1,5.355499
300,INR,2,1,4.016624
300,INR,2,1,4.016624
475,INR,2,1,6.359655
400,INR,2,1,5.355499
700,INR,3,1,9.372123
200,INR,1,1,2.6777494
750,INR,3,1,10.04156
700,INR,3,1,9.372123
600,INR,3,1,8.033248
300,INR,2,1,4.016624
600,INR,3,1,8.033248
900,INR,3,1,12.049872
700,INR,3,1,9.372123
750,INR,3,1,10.04156
100,INR,1,1,1.3388747
300,INR,2,1,4.016624
125,INR,1,1,1.6735934
350,INR,2,1,4.6860614
250,INR,2,1,3.3471868
500,INR,3,1,6.6943736
500,INR,3,1,6.6943736
325,INR,2,1,4.3513427
300,INR,2,1,4.016624
250,INR,2,1,3.3471868
275,INR,2,1,3.6819055
250,INR,2,1,3.3471868
175,INR,2,1,2.3430307
250,INR,2,1,3.3471868
200,INR,2,1,2.6777494
200,INR,2,1,2.6777494
900,INR,4,1,12.049872
250,INR,2,1,3.3471868
450,INR,3,1,6.024936
250,INR,2,1,3.3471868
250,INR,2,1,3.3471868
275,INR,2,1,3.6819055
600,INR,3,1,8.033248
300,INR,2,1,4.016624
250,INR,2,1,3.3471868
250,INR,2,1,3.3471868
425,INR,2,1,5.6902175
700,INR,3,1,9.372123
225,INR,1,1,3.012468
300,INR,2,1,4.016624
225,INR,1,1,3.012468
250,INR,2,1,3.3471868
225,INR,1,1,3.012468
450,INR,2,1,6.024936
200,INR,1,1,2.6777494
400,INR,2,1,5.355499
150,INR,1,1,2.008312
250,INR,2,1,3.3471868
450,INR,2,1,6.024936
750,INR,3,1,10.04156
200,INR,1,1,2.6777494
425,INR,2,1,5.6902175
800,INR,3,1,10.710998
700,INR,3,1,9.372123
800,INR,3,1,10.710998
700,INR,3,1,9.372123
600,INR,3,1,8.033248
650,INR,3,1,8.702685
900,INR,3,1,12.049872
350,INR,2,1,4.6860614
500,INR,3,1,6.6943736
325,INR,2,1,4.3513427
325,INR,2,1,4.3513427
225,INR,1,1,3.012468
300,INR,2,1,4.016624
400,INR,2,1,5.355499
1100,INR,4,1,14.727622
250,INR,2,1,3.3471868
300,INR,2,1,4.016624
400,INR,2,1,5.355499
400,INR,2,1,5.355499
375,INR,2,1,5.02078
425,INR,2,1,5.6902175
850,INR,3,1,11.380435
225,INR,1,1,3.012468
175,INR,1,1,2.3430307
550,INR,3,1,7.363811
750,INR,3,1,10.04156
600,INR,3,1,8.033248
500,INR,3,1,6.6943736
450,INR,2,1,6.024936
600,INR,3,1,8.033248
425,INR,2,1,5.6902175
425,INR,2,1,5.6902175
750,INR,3,1,10.04156
1000,INR,4,1,13.388747
800,INR,3,1,10.710998
700,INR,3,1,9.372123
450,INR,2,1,6.024936
400,INR,3,1,5.355499
300,INR,2,1,4.016624
200,INR,2,1,2.6777494
300,INR,2,1,4.016624
250,INR,2,1,3.3471868
600,INR,3,1,8.033248
225,INR,2,1,3.012468
175,INR,2,1,2.3430307
600,INR,3,1,8.033248
350,INR,2,1,4.6860614
600,INR,3,1,8.033248
300,INR,2,1,4.016624
500,INR,3,1,6.6943736
750,INR,4,1,10.04156
200,INR,2,1,2.6777494
700,INR,3,1,9.372123
175,INR,2,1,2.3430307
350,INR,2,1,4.6860614
150,INR,1,1,2.008312
700,INR,3,1,9.372123
400,INR,3,1,5.355499
250,INR,3,1,3.3471868
325,INR,3,1,4.3513427
500,INR,4,1,6.6943736
375,INR,3,1,5.02078
750,INR,4,1,10.04156
0,INR,1,1,0.0
625,INR,4,1,8.367967
275,INR,3,1,3.6819055
250,INR,3,1,3.3471868
175,INR,2,1,2.3430307
350,INR,3,1,4.6860614
300,INR,3,1,4.016624
300,INR,3,1,4.016624
200,INR,2,1,2.6777494
800,INR,4,1,10.710998
600,INR,4,1,8.033248
250,INR,3,1,3.3471868
250,INR,3,1,3.3471868
300,INR,3,1,4.016624
125,INR,1,1,1.6735934
250,INR,2,1,3.3471868
75,INR,1,1,1.004156
75,INR,1,1,1.004156
50,INR,1,1,0.66943735
